+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  0 |     READY |   RUNNING |
|               200 |  0 |   RUNNING |     READY |
|               200 |  0 |     READY |   RUNNING |
|               300 |  0 |   RUNNING |   WAITING |
|               300 |  1 |     READY |   RUNNING |
|               400 |  1 |   RUNNING |     READY |
|               400 |  0 |   WAITING |     READY |
|               400 |  0 |     READY |   RUNNING |
|               500 |  0 |   RUNNING |TERMINATED |
|               500 |  5 |       NEW |     READY |
|               500 |  1 |     READY |   RUNNING |
|               600 |  1 |   RUNNING |   WAITING |
|               600 |  2 |     READY |   RUNNING |
|               700 |  2 |   RUNNING |     READY |
|               700 |  1 |   WAITING |     READY |
|               700 |  1 |     READY |   RUNNING |
|               800 |  1 |   RUNNING |TERMINATED |
|               800 |  2 |     READY |   RUNNING |
|               900 |  2 |   RUNNING |     READY |
|               900 |  2 |     READY |   RUNNING |
|              1000 |  2 |   RUNNING |     READY |
|              1000 |  2 |     READY |   RUNNING |
|              1100 |  2 |   RUNNING |   WAITING |
|              1100 |  3 |     READY |   RUNNING |
|              1200 |  3 |   RUNNING |     READY |
|              1200 |  2 |   WAITING |     READY |
|              1200 |  2 |     READY |   RUNNING |
|              1300 |  2 |   RUNNING |TERMINATED |
|              1300 |  3 |     READY |   RUNNING |
|              1400 |  3 |   RUNNING |   WAITING |
|              1400 |  4 |     READY |   RUNNING |
|              1500 |  4 |   RUNNING |     READY |
|              1500 |  3 |   WAITING |     READY |
|              1500 |  3 |     READY |   RUNNING |
|              1600 |  3 |   RUNNING |     READY |
|              1600 |  3 |     READY |   RUNNING |
|              1700 |  3 |   RUNNING |   WAITING |
|              1700 |  4 |     READY |   RUNNING |
|              1800 |  4 |   RUNNING |     READY |
|              1800 |  3 |   WAITING |     READY |
|              1800 |  3 |     READY |   RUNNING |
|              1900 |  3 |   RUNNING |TERMINATED |
|              1900 |  4 |     READY |   RUNNING |
|              2000 |  4 |   RUNNING |TERMINATED |
|              2000 |  5 |     READY |   RUNNING |
|              2100 |  5 |   RUNNING |     READY |
|              2100 |  5 |     READY |   RUNNING |
|              2200 |  5 |   RUNNING |     READY |
|              2200 |  5 |     READY |   RUNNING |
|              2300 |  5 |   RUNNING |   WAITING |
|              2400 |  5 |   WAITING |     READY |
|              2400 |  5 |     READY |   RUNNING |
|              2500 |  5 |   RUNNING |TERMINATED |
+------------------------------------------------+
