+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  0 |     READY |   RUNNING |
|               200 |  0 |   RUNNING |     READY |
|               200 |  0 |     READY |   RUNNING |
|               300 |  0 |   RUNNING |     READY |
|               300 |  0 |     READY |   RUNNING |
|               400 |  0 |   RUNNING |   WAITING |
|               400 |  2 |     READY |   RUNNING |
|               500 |  2 |   RUNNING |     READY |
|               500 |  2 |     READY |   RUNNING |
|               600 |  2 |   RUNNING |   WAITING |
|               600 |  0 |   WAITING |     READY |
|               600 |  0 |     READY |   RUNNING |
|               700 |  0 |   RUNNING |     READY |
|               700 |  0 |     READY |   RUNNING |
|               800 |  0 |   RUNNING |     READY |
|               800 |  0 |     READY |   RUNNING |
|               900 |  0 |   RUNNING |TERMINATED |
|               900 |  2 |   WAITING |     READY |
|               900 |  2 |     READY |   RUNNING |
|              1000 |  2 |   RUNNING |TERMINATED |
|              1000 |  4 |     READY |   RUNNING |
|              1100 |  4 |   RUNNING |     READY |
|              1100 |  4 |     READY |   RUNNING |
|              1200 |  4 |   RUNNING |     READY |
|              1200 |  4 |     READY |   RUNNING |
|              1300 |  4 |   RUNNING |   WAITING |
|              1400 |  4 |   WAITING |     READY |
|              1400 |  4 |     READY |   RUNNING |
|              1500 |  4 |   RUNNING |TERMINATED |
+------------------------------------------------+
