+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  0 |     READY |   RUNNING |
|               200 |  0 |   RUNNING |     READY |
|               200 |  0 |     READY |   RUNNING |
|               300 |  0 |   RUNNING |   WAITING |
|               300 |  1 |     READY |   RUNNING |
|               400 |  1 |   RUNNING |     READY |
|               400 |  0 |   WAITING |     READY |
|               400 |  0 |     READY |   RUNNING |
|               500 |  0 |   RUNNING |TERMINATED |
|               500 |  5 |       NEW |     READY |
|               500 |  1 |     READY |   RUNNING |
|               600 |  1 |   RUNNING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               700 |  1 |   RUNNING |     READY |
|               700 |  1 |     READY |   RUNNING |
|               800 |  1 |   RUNNING |     READY |
|               800 |  1 |     READY |   RUNNING |
|               900 |  1 |   RUNNING |TERMINATED |
|               900 |  6 |       NEW |     READY |
|               900 |  2 |     READY |   RUNNING |
|              1000 |  2 |   RUNNING |     READY |
|              1000 |  2 |     READY |   RUNNING |
|              1100 |  2 |   RUNNING |   WAITING |
|              1100 |  3 |     READY |   RUNNING |
|              1200 |  3 |   RUNNING |     READY |
|              1200 |  2 |   WAITING |     READY |
|              1200 |  2 |     READY |   RUNNING |
|              1300 |  2 |   RUNNING |     READY |
|              1300 |  2 |     READY |   RUNNING |
|              1400 |  2 |   RUNNING |TERMINATED |
|              1400 |  3 |     READY |   RUNNING |
|              1500 |  3 |   RUNNING |     READY |
|              1500 |  3 |     READY |   RUNNING |
|              1600 |  3 |   RUNNING |     READY |
|              1600 |  3 |     READY |   RUNNING |
|              1700 |  3 |   RUNNING |   WAITING |
|              1700 |  4 |     READY |   RUNNING |
|              1800 |  4 |   RUNNING |     READY |
|              1800 |  3 |   WAITING |     READY |
|              1800 |  3 |     READY |   RUNNING |
|              1900 |  3 |   RUNNING |     READY |
|              1900 |  3 |     READY |   RUNNING |
|              2000 |  3 |   RUNNING |TERMINATED |
|              2000 |  4 |     READY |   RUNNING |
|              2100 |  4 |   RUNNING |     READY |
|              2100 |  4 |     READY |   RUNNING |
|              2200 |  4 |   RUNNING |   WAITING |
|              2200 |  5 |     READY |   RUNNING |
|              2300 |  5 |   RUNNING |     READY |
|              2300 |  4 |   WAITING |     READY |
|              2300 |  4 |     READY |   RUNNING |
|              2400 |  4 |   RUNNING |TERMINATED |
|              2400 |  5 |     READY |   RUNNING |
|              2500 |  5 |   RUNNING |   WAITING |
|              2500 |  6 |     READY |   RUNNING |
|              2600 |  6 |   RUNNING |     READY |
|              2600 |  5 |   WAITING |     READY |
|              2600 |  5 |     READY |   RUNNING |
|              2700 |  5 |   RUNNING |TERMINATED |
|              2700 |  6 |     READY |   RUNNING |
|              2800 |  6 |   RUNNING |     READY |
|              2800 |  6 |     READY |   RUNNING |
|              2900 |  6 |   RUNNING |     READY |
|              2900 |  6 |     READY |   RUNNING |
|              3000 |  6 |   RUNNING |TERMINATED |
+------------------------------------------------+
