+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  1 |     READY |   RUNNING |
|               200 |  1 |   RUNNING |     READY |
|               200 |  2 |     READY |   RUNNING |
|               300 |  2 |   RUNNING |     READY |
|               300 |  3 |     READY |   RUNNING |
|               400 |  3 |   RUNNING |     READY |
|               400 |  4 |     READY |   RUNNING |
|               500 |  4 |   RUNNING |     READY |
|               500 |  0 |     READY |   RUNNING |
|               600 |  0 |   RUNNING |   WAITING |
|               600 |  1 |     READY |   RUNNING |
|               700 |  1 |   RUNNING |     READY |
|               700 |  0 |   WAITING |     READY |
|               700 |  2 |     READY |   RUNNING |
|               800 |  2 |   RUNNING |   WAITING |
|               800 |  3 |     READY |   RUNNING |
|               900 |  3 |   RUNNING |     READY |
|               900 |  2 |   WAITING |     READY |
|               900 |  4 |     READY |   RUNNING |
|              1000 |  4 |   RUNNING |     READY |
|              1000 |  1 |     READY |   RUNNING |
|              1100 |  1 |   RUNNING |   WAITING |
|              1100 |  0 |     READY |   RUNNING |
|              1200 |  0 |   RUNNING |TERMINATED |
|              1200 |  5 |       NEW |     READY |
|              1200 |  1 |   WAITING |     READY |
|              1200 |  3 |     READY |   RUNNING |
|              1300 |  3 |   RUNNING |     READY |
|              1300 |  2 |     READY |   RUNNING |
|              1400 |  2 |   RUNNING |     READY |
|              1400 |  4 |     READY |   RUNNING |
|              1500 |  4 |   RUNNING |TERMINATED |
|              1500 |  6 |       NEW |     READY |
|              1500 |  5 |     READY |   RUNNING |
|              1600 |  5 |   RUNNING |     READY |
|              1600 |  1 |     READY |   RUNNING |
|              1700 |  1 |   RUNNING |TERMINATED |
|              1700 |  7 |       NEW |     READY |
|              1700 |  3 |     READY |   RUNNING |
|              1800 |  3 |   RUNNING |   WAITING |
|              1800 |  2 |     READY |   RUNNING |
|              1900 |  2 |   RUNNING |   WAITING |
|              1900 |  3 |   WAITING |     READY |
|              1900 |  6 |     READY |   RUNNING |
|              2000 |  6 |   RUNNING |     READY |
|              2000 |  2 |   WAITING |     READY |
|              2000 |  5 |     READY |   RUNNING |
|              2100 |  5 |   RUNNING |     READY |
|              2100 |  7 |     READY |   RUNNING |
|              2200 |  7 |   RUNNING |     READY |
|              2200 |  3 |     READY |   RUNNING |
|              2300 |  3 |   RUNNING |     READY |
|              2300 |  6 |     READY |   RUNNING |
|              2400 |  6 |   RUNNING |     READY |
|              2400 |  2 |     READY |   RUNNING |
|              2500 |  2 |   RUNNING |TERMINATED |
|              2500 |  5 |     READY |   RUNNING |
|              2600 |  5 |   RUNNING |TERMINATED |
|              2600 |  7 |     READY |   RUNNING |
|              2700 |  7 |   RUNNING |   WAITING |
|              2700 |  3 |     READY |   RUNNING |
|              2800 |  3 |   RUNNING |TERMINATED |
|              2800 |  7 |   WAITING |     READY |
|              2800 |  6 |     READY |   RUNNING |
|              2900 |  6 |   RUNNING |     READY |
|              2900 |  7 |     READY |   RUNNING |
|              3000 |  7 |   RUNNING |TERMINATED |
|              3000 |  6 |     READY |   RUNNING |
|              3100 |  6 |   RUNNING |   WAITING |
|              3200 |  6 |   WAITING |     READY |
|              3200 |  6 |     READY |   RUNNING |
|              3300 |  6 |   RUNNING |TERMINATED |
+------------------------------------------------+
